Category,Qty,Total Price,Unnamed: 3,Total Cost,Total Cost %,Total Profit,Unnamed: 7,Total Profit %,Unnamed: 9,branch,Revenue,Profit_Margin,branch_norm
BEVERAGES,137572.1,"1,841,385.84",,4143855.17,22.50,14270003.22,,77.50,,Stories - Bir Hasan,18413858.39,0.7749599740459392,stories bir hasan
FOOD,102791.4,"1,264,966.00",,4658225.8,36.82,7991434.23,,63.18,,Stories - Bir Hasan,12649660.030000001,0.6317509095934177,stories bir hasan
BEVERAGES,138680.5,"2,054,988.70",,4591734.79,22.34,15958152.17,,77.66,,Stories Centro Mall,20549886.96,0.7765566886602475,stories centro mall
FOOD,121423.1,"1,307,149.74",,4981860.7,38.11,8089636.74,,61.89,,Stories Centro Mall,13071497.440000001,0.6188760528112837,stories centro mall
BEVERAGES,58430.0,"777,228.30",,1774898.67,22.84,5997384.33,,77.16,,Stories LAU,7772283.0,0.7716374107839357,stories lau
FOOD,73384.15,"767,489.57",,2799004.1,36.47,4875891.58,,63.53,,Stories LAU,7674895.68,0.6353039550369498,stories lau
BEVERAGES,49605.0,"671,882.79",,1426297.24,21.23,5292530.68,,78.77,,Stories Faqra,6718827.92,0.787716361100077,stories faqra
FOOD,46504.7,"4,199,569.55",,1508720.49,35.93,2690849.07,,64.07,,Stories Faqra,4199569.56,0.6407440171082677,stories faqra
BEVERAGES,55306.5,"782,327.67",,1803433.47,23.05,6019843.2,,76.95,,Stories.,7823276.67,0.7694785003685675,stories
FOOD,62895.2,"6,311,370.00",,2473263.04,39.19,3838106.96,,60.81,,Stories.,6311370.0,0.6081258046985044,stories
BEVERAGES,453409.5,"6,604,123.80",,15162043.16,22.96,50879194.87,,77.04,,Stories Ain El Mreisseh,66041238.03,0.7704155219938114,stories ain el mreisseh
FOOD,350505.3,"4,255,693.95",,15664715.31,36.81,26892224.15,,63.19,,Stories Ain El Mreisseh,42556939.46,0.6319116104501937,stories ain el mreisseh
BEVERAGES,71477.0,"1,075,223.33",,2266761.81,21.08,8485471.52,,78.92,,Stories Sour 2,10752233.33,0.7891822340131452,stories sour 2
FOOD,67378.7,"810,425.28",,2777193.82,34.27,5327058.94,,65.73,,Stories Sour 2,8104252.76,0.6573164852770461,stories sour 2
BEVERAGES,3349.0,"466,738.74",,97314.12,20.85,369424.62,,79.15,,Stories Event Starco,466738.74,0.7915019438926368,stories event starco
FOOD,1162.5,"130,393.39",,46184.66,35.42,84208.73,,64.58,,Stories Event Starco,130393.39,0.6458052053098704,stories event starco
BEVERAGES,413408.5,"5,381,346.06",,12452738.11,23.14,41360722.52,,76.86,,Stories Zalka,53813460.63,0.768594363487974,stories zalka
FOOD,382491.9,"4,451,903.23",,16555525.12,37.19,27963507.16,,62.81,,Stories Zalka,44519032.28,0.6281247755819368,stories zalka
BEVERAGES,101850.0,"1,431,533.53",,3237662.22,22.62,11077673.1,,77.38,,Stories Antelias,14315335.32,0.7738325964690012,stories antelias
FOOD,132522.5,"1,423,515.24",,5307785.83,37.29,8927366.53,,62.71,,Stories Antelias,14235152.36,0.6271352988876615,stories antelias
BEVERAGES,89944.92,"1,301,059.81",,2930940.79,22.53,10079657.36,,77.47,,Stories Verdun,13010598.149999999,0.7747266685044761,stories verdun
FOOD,94159.7,"915,147.96",,3208707.08,35.06,5942772.51,,64.94,,Stories Verdun,9151479.59,0.6493783274667173,stories verdun
BEVERAGES,313003.0,"4,588,249.28",,10627832.3,23.16,35254660.55,,76.84,,Stories Khaldeh,45882492.849999994,0.7683684638769579,stories khaldeh
FOOD,245554.9,"2,969,533.62",,11378760.26,38.32,18316575.95,,61.68,,Stories Khaldeh,29695336.21,0.6168165876442184,stories khaldeh
BEVERAGES,206104.0,"2,693,409.47",,6126424.75,22.75,20807669.97,,77.25,,Stories Bayada,26934094.72,0.7725401646616026,stories bayada
FOOD,205844.0,"2,097,698.07",,7754077.28,36.96,13222903.41,,63.04,,Stories Bayada,20976980.69,0.6303530334231336,stories bayada
BEVERAGES,155439.5,"2,074,227.76",,4717079.19,22.74,16025198.45,,77.26,,Stories Le Mall,20742277.64,0.7725862476691832,stories le mall
FOOD,203539.0,"2,174,952.75",,7885420.17,36.26,13864107.3,,63.74,,Stories Le Mall,21749527.47,0.6374440694917775,stories le mall
BEVERAGES,216444.3,"3,055,936.46",,6875618.67,22.50,23683745.92,,77.50,,Stories Batroun,30559364.590000004,0.7750077999903858,stories batroun
FOOD,152400.7,"1,815,802.29",,7200127.14,39.65,10957895.8,,60.35,,Stories Batroun,18158022.94,0.603474058613564,stories batroun
BEVERAGES,196102.7,"2,670,044.06",,6143884.18,23.01,20556556.43,,76.99,,Stories Saida,26700440.61,0.7698957755139457,stories saida
FOOD,214446.8,"2,294,618.98",,8501676.74,37.05,14444513.09,,62.95,,Stories Saida,22946189.83,0.6294950576550687,stories saida
BEVERAGES,233679.4,"2,983,438.11",,6680818.93,22.39,23153562.21,,77.61,,Stories Ramlet El Bayda,29834381.14,0.7760698001862425,stories ramlet el bayda
FOOD,147283.4,"2,005,528.95",,7135401.85,35.58,12919887.63,,64.42,,Stories Ramlet El Bayda,20055289.48,0.6442134701114272,stories ramlet el bayda
BEVERAGES,97446.0,"1,419,916.00",,2937118.7,20.69,11262041.3,,79.31,,Stories jbeil,14199160.0,0.7931484186388491,stories jbeil
FOOD,88701.85,"1,291,934.03",,4445544.54,34.41,8473795.72,,65.59,,Stories jbeil,12919340.260000002,0.6559000343257466,stories jbeil
BEVERAGES,143016.5,"2,344,993.40",,5337886.21,22.76,18112047.79,,77.24,,Stories Airport,23449934.0,0.7723709495301777,stories airport
FOOD,104599.5,"1,301,656.64",,4922970.38,37.82,8093596.03,,62.18,,Stories Airport,13016566.41,0.6217919361423978,stories airport
BEVERAGES,104936.1,"1,602,957.39",,3763597.16,23.48,12265976.76,,76.52,,Stories alay,16029573.92,0.7652091578489068,stories alay
FOOD,87341.95,"1,017,642.11",,3862652.79,37.96,6313768.26,,62.04,,Stories alay,10176421.05,0.6204311151217549,stories alay
BEVERAGES,96462.5,"1,313,736.34",,3080067.34,23.45,10057296.04,,76.55,,Stories Mansourieh,13137363.379999999,0.7655490488533628,stories mansourieh
FOOD,112738.9,"1,360,149.07",,4796147.77,35.26,8805342.96,,64.74,,Stories Mansourieh,13601490.73,0.6473807272153322,stories mansourieh
BEVERAGES,40001.5,"5,183,243.25",,1233876.78,23.81,3949366.47,,76.19,,Stories sin el fil,5183243.25,0.7619488956070121,stories sin el fil
FOOD,34628.5,"5,108,435.45",,1884112.13,36.88,3224323.32,,63.12,,Stories sin el fil,5108435.449999999,0.6311762870567348,stories sin el fil
BEVERAGES,39279.0,"5,208,679.29",,1220181.77,23.43,3988497.51,,76.57,,Stories amioun,5208679.279999999,0.7657406600776542,stories amioun
FOOD,33133.7,"4,538,748.36",,1671637.41,36.83,2867110.96,,63.17,,Stories amioun,4538748.37,0.63169638990143,stories amioun
BEVERAGES,20643.5,"2,837,797.01",,686283.32,24.18,2151513.69,,75.82,,Stories raouche,2837797.01,0.7581633508028822,stories raouche
FOOD,16050.27,"1,716,003.31",,646728.98,37.69,1069274.33,,62.31,,Stories raouche,1716003.31,0.6231190369906687,stories raouche
BEVERAGES,11729.0,"1,532,018.62",,360533.95,23.53,1171484.68,,76.47,,Stories kaslik,1532018.63,0.7646673852784676,stories kaslik
FOOD,10532.5,"1,287,430.03",,484560.79,37.64,802869.25,,62.36,,Stories kaslik,1287430.04,0.6236216532589219,stories kaslik
